artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,World/Traditional, blues, classical,R&B,metal,hip hop, latin, hip hop,country, jazz, R&B, pop,rock,pop,latin, Dance/Electronic, Folk/Acoustic,Dance/Electronic, easy listening,set(), country,easy listening, metal,Folk/Acoustic, rock,cat,cluster
blink-182,All The Small Things,0.14567313132837212,0.0,1999,0.8876404494382022,0.3605200945626478,0.8919605973943439,0.0,0.7706295088447476,1.0,0.0463096960926194,0.010533813779943212,0.0,0.7101623571858088,0.6908760295218741,0.5881179060146388,"rock, pop",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,7
Eminem,The Real Slim Shady,0.4612739999892226,1.0,2000,0.9662921348314607,0.9692671394799054,0.6419870776400806,0.45454545454545453,0.803933194979741,0.0,0.06150506512301014,0.030923559151983318,0.0,0.028743235117257973,0.7721681463258103,0.29493078391853195,hip hop,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,4
Modjo,Lady - Hear Me Tonight,0.5231175871489926,0.0,2001,0.8651685393258427,0.6985815602836879,0.7976909225717616,0.5454545454545454,0.7355964028066014,1.0,0.0265918958031838,0.008105487321062053,0.029746192893401014,0.050390859891761876,0.8887581559525083,0.4377187864644107,Dance/Electronic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.1111111111111111,2
Linkin Park,In the End,0.27988985466635774,0.0,2000,0.9325842696629213,0.504728132387707,0.8570066730219257,0.2727272727272727,0.7235892874789999,0.0,0.06367583212735167,0.009796094349397037,0.0,0.22549609140108237,0.38710022462295435,0.29916728545666704,"rock, metal",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,7
DMX,Party Up,0.4199587224434589,1.0,1999,0.797752808988764,0.45035460992907805,0.9279737315962293,1.0,0.8504792963731594,1.0,0.5857452966714906,0.07559656911283502,0.0,0.5754660252555622,0.526152529682319,0.9408945051447969,"hip hop, pop",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4
Mýa,Case Of The Ex (Whatcha Gonna Do),0.33384705749219984,0.0,2000,0.6629213483146067,0.7600472813238771,0.6705857430356953,0.09090909090909091,0.7806601442830319,0.0,0.03129522431259046,0.056128973028977625,9.939086294416243e-05,0.061334936861094404,0.33147930259920844,0.2518099607510343,"pop, R&B",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,1
Mary Mary,Shackles (Praise You),0.22995263319556186,0.0,2000,0.7191011235955056,0.7683215130023641,0.8252303781379091,0.6363636363636364,0.8766182429093784,1.0,0.2510853835021708,0.0351244614648157,0.0,0.08069753457606733,0.814953470959461,0.2681194971889254,R&B,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,1
Jagged Edge,He Can't Love U,0.35310363037726394,0.0,2000,0.6179775280898876,0.6997635933806147,0.8273487977968436,0.7272727272727273,0.8173732582270975,0.0,0.3306801736613604,0.11473668334459039,0.0,0.25676488274203246,0.5026206011338111,0.43929670096531237,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,4
Craig David,Fill Me In,0.3885263481217634,0.0,2000,0.6741573033707865,0.6536643026004729,0.7299014934858595,0.7272727272727273,0.6686925585532167,1.0,0.02405933429811867,0.3852338078781878,0.00965482233502538,0.046301864101022244,0.8438335650871751,0.4804948552031399,"hip hop, pop, R&B",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,4
Red Hot Chili Peppers,Otherside,0.38360375701206534,0.0,1999,0.8764044943820225,0.3888888888888889,0.7839211947886877,0.0,0.8523075402707777,1.0,0.06186685962373373,0.0032180960936936463,0.00020507614213197972,0.0650631389055923,0.5079687667130175,0.41907552773947176,rock,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,7
